nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE
5288127158fb7_5288127158fb7,5288127158fb7,NaN,NaN,0.093012296,0.44827822
52881272b43b3_52881272b43b3,52881272b43b3,NaN,NaN,0.0685697,0.45680124
528812731eca3_528812731eca3,528812731eca3,NaN,NaN,0.0908053,0.4744359
52881273a19f6_52881273a19f6,52881273a19f6,NaN,NaN,0.10512991,0.46309996
52881273c1d85_52881273c1d85,52881273c1d85,NaN,NaN,0.07823675,0.4311888
528812741e409_528812741e409,528812741e409,NaN,NaN,0.091771044,0.4559938
52881274ba3a4_52881274ba3a4,52881274ba3a4,NaN,NaN,0.08510183,0.4442325
52881274da76b_52881274da76b,52881274da76b,NaN,NaN,0.10765731,0.45459887
5288127531bb1_5288127531bb1,5288127531bb1,NaN,NaN,0.08555589,0.4616115
528812753c788_528812753c788,528812753c788,NaN,NaN,0.10212315,0.44499055
528812756d4a0_528812756d4a0,528812756d4a0,NaN,NaN,0.09689567,0.46146443
528812758d43e_528812758d43e,528812758d43e,NaN,NaN,0.086646535,0.4262154
5288127592a29_5288127592a29,5288127592a29,NaN,NaN,0.093824394,0.4311081
5288126d1800e_5288126d1800e,5288126d1800e,NaN,NaN,0.572775,0.79456747
5288126d1ca4b_5288126d1ca4b,5288126d1ca4b,NaN,NaN,0.51546335,0.7188336
5288126d851d4_5288126d851d4,5288126d851d4,NaN,NaN,0.5879973,0.79188013
5288126dbc476_5288126dbc476,5288126dbc476,NaN,NaN,0.5608956,0.80015993
5288126dee514_5288126dee514,5288126dee514,NaN,NaN,0.5797778,0.81457925
5288126e31577_5288126e31577,5288126e31577,NaN,NaN,0.56284165,0.78821325
5288126e4f5d7_5288126e4f5d7,5288126e4f5d7,NaN,NaN,0.55767447,0.8215356
5288126f5c415_5288126f5c415,5288126f5c415,NaN,NaN,0.6008424,0.7981885
5288126f6be16_5288126f6be16,5288126f6be16,NaN,NaN,0.5968017,0.8400333
5288126f815ac_5288126f815ac,5288126f815ac,NaN,NaN,0.5813324,0.86693805
5288126fe00ff_5288126fe00ff,5288126fe00ff,NaN,NaN,0.5543809,0.8141877
5288127058c95_5288127058c95,5288127058c95,NaN,NaN,0.56652105,0.81610304
528812707a3a4_528812707a3a4,528812707a3a4,NaN,NaN,0.5564823,0.8542389
